training_row_id,row_origin,raw_file,line,plan_date,pub_date,session_date,packet_id,setup_level,swept_low,recovered_level,trap_detected_timestamp_et,reclaim_detected_timestamp_et,classification_complete_timestamp_et,candidate_fired_timestamp_et,candidate_timing_driver,outcome_window_available,horizon_15m_complete,horizon_60m_complete,reclaim_price,entry_price,entry_timestamp_et,source_mode,source_label_status,accepted_for_timing_test,source_confidence_score,significant_low_score,prior_touch_count,prior_hold_minutes,prior_bounce_points,major_source_bonus,flush_depth,flush_depth_ticks,approach_velocity,multi_level_flush_count,volume_on_trap_bar,median_volume_30m,flush_score,reclaim_score,reclaim_close_location,reclaim_range,acceptance_closes_above_L,acceptance_score_timestamp_et,non_acceptance_score_timestamp_et,first_threshold_close_timestamp_et,non_acceptance_score,non_acceptance_closes,reclaim_minutes_from_trap,squeeze_score,candidate_score,target_room,target_invalid_for_level_to_level,risk_to_sweep,target_R,next_trusted_level_above,next_trusted_level_source,next_trusted_level_role,next_trusted_level_pub_date,time_of_day_bucket,visual_sanity_status,source_blocker_count,bars_available,window_csv,acceptance_family_model,hard_reject,hard_reject_reasons
direct-54e96ec3741ecd9e,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1476,2026-04-29,2026-04-28,2026-04-29,,7048.0,7068.0,7048.0,,,,,reclaim_score,false,false,false,7048.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,-20.0,-80.0,3.9259,3,1912.0,625.0,0.65,0.0,,,0,,,,0.0,0,,0.0,0.235,,true,,,7080.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,simple_reclaim_unclassified,true,no_reclaim;not_accepted_for_timing_test
direct-c0cd5b2b9a29de96,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1476,2026-04-29,2026-04-28,2026-04-29,,7147.0,7068.0,7147.0,,,,,reclaim_score,false,false,false,7147.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,79.0,316.0,3.9259,11,1912.0,625.0,1.0,0.0,,,0,,,,0.0,0,,0.0,0.305,,true,,,7160.0,source_row_target,target_or_response,2026-04-28,missing,,3,869,,ladder_first_reclaim,true,no_reclaim;not_accepted_for_timing_test
direct-481662e027fa7930,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1480,2026-04-29,2026-04-28,2026-04-28,source-scan:1ac65b930c462f72,7180.0,7180.0,7180.0,2026-04-28T06:27:00-04:00,2026-04-28T08:42:00-04:00,2026-04-28T08:42:00-04:00,2026-04-28T08:42:00-04:00,reclaim_score,true,true,true,7180.25,7180.25,2026-04-28T08:42:00-04:00,context_recap,source_confirmed_fbd,true,1.0,0.5531,7,6.0,3.25,1.0,0.0,0.0,0.4519,0,1308.0,557.0,0.2565,0.6667,0.6818,5.5,1,2026-04-28T08:42:00-04:00,,,0.0,0,,0.735,0.6032,44.75,false,0.5,89.5,7225.0,daily_plan_text,RESISTANCE_ONLY,2026-04-28,overnight_premarket,,3,1320,,simple_reclaim_unclassified,false,
direct-1fb99f76a4bd0f46,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1482,2026-04-29,2026-04-28,2026-04-29,,,,,,,,,reclaim_score,false,false,false,,,,planned_setup,source_negative_control,false,0.0,0.2,0,0.0,0.0,1.0,,,,0,1912.0,625.0,0.2,0.0,,,0,,,,0.0,0,,0.0,0.09,,true,,,,,,,missing,,1,869,,simple_reclaim_unclassified,true,source_negative_control;missing_setup_level;no_reclaim
direct-fc66919f281a4632,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1498,2026-04-28,2026-04-27,2026-04-28,,7085.0,7085.0,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,context_recap,source_unparsed_fbd,false,0.0,0.2,0,0.0,0.0,1.0,0.0,0.0,2.9667,0,247.0,247.0,0.35,0.0,,,0,,,,0.0,0,,0.0,0.12,,true,,,7200.0,source_row_target,target_or_response,2026-04-27,missing,,1,1320,,simple_reclaim_unclassified,true,no_source_data_only;no_reclaim
direct-1a013f62e8efef73,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1500,2026-04-28,2026-04-27,2026-04-23,source-scan:5f374923830e180d,7085.0,7079.25,7085.0,2026-04-23T12:46:00-04:00,2026-04-23T12:47:00-04:00,2026-04-23T12:49:00-04:00,,reclaim_score,true,true,true,7094.25,7092.0,2026-04-23T12:49:00-04:00,actual_recap,source_confirmed_fbd,true,1.0,0.4219,1,0.0,9.75,1.0,5.75,23.0,4.9545,1,11256.0,6688.0,0.7365,0.85,0.8286,17.5,3,2026-04-23T12:49:00-04:00,2026-04-23T12:49:00-04:00,2026-04-23T12:47:00-04:00,0.7,3,,0.715,0.7083,112.0,false,13.0,8.6154,7204.0,daily_plan_text,SUPPORT_LEVEL,2026-04-27,midday,,2,1320,,non_acceptance_protocol,true,future_target_leakage;source_after_entry_leakage
direct-2a987a3b0facdd28,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1536,2026-04-28,2026-04-27,2026-04-28,mancini-es1m:2026-04-28T0607:7185.0:a8043403abe4,7085.0,7171.0,7085.0,2026-04-28T06:21:00-04:00,2026-04-28T05:52:00-04:00,2026-04-28T05:54:00-04:00,,reclaim_score,true,true,true,7188.25,7188.0,2026-04-28T05:54:00-04:00,context_recap,source_confirmed_fbd,false,1.0,0.2,0,0.0,0.0,1.0,-86.0,-344.0,1.0375,10,1071.0,486.5,0.5297,0.8,0.3333,0.75,3,2026-04-28T05:54:00-04:00,2026-04-28T05:54:00-04:00,2026-04-28T05:52:00-04:00,0.7,3,,0.035,0.4629,-83.0,true,17.25,-4.8116,7105.0,daily_plan_text,SUPPORT_LEVEL,2026-04-27,overnight_premarket,dangerous_demote_for_training,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260428_0607_7185.0_a8043403abe4.csv,simple_reclaim_unclassified,true,not_accepted_for_timing_test;reclaim_not_after_trap;candidate_fire_not_after_trap
direct-d23f4c95afe3b6b2,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1536,2026-04-28,2026-04-27,2026-04-28,mancini-es1m:2026-04-28T0607:7185.0:a8043403abe4,7185.0,7171.0,7185.0,2026-04-28T06:21:00-04:00,2026-04-28T05:52:00-04:00,2026-04-28T05:54:00-04:00,,reclaim_score,true,true,true,7188.25,7188.0,2026-04-28T05:54:00-04:00,context_recap,source_confirmed_fbd,false,1.0,0.5417,3,2.0,3.0,1.0,14.0,56.0,1.0375,4,1071.0,486.5,0.8797,0.8,0.3333,0.75,3,2026-04-28T05:54:00-04:00,2026-04-28T06:02:00-04:00,2026-04-28T06:00:00-04:00,0.7,3,,0.572,0.7257,12.0,false,17.25,0.6957,7200.0,daily_plan_text,SUPPORT_LEVEL,2026-04-27,overnight_premarket,dangerous_demote_for_training,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260428_0607_7185.0_a8043403abe4.csv,simple_reclaim_unclassified,true,not_accepted_for_timing_test;reclaim_not_after_trap;candidate_fire_not_after_trap
direct-926ae785b64f6773,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1542,2026-04-28,2026-04-27,2026-04-28,,7085.0,7080.0,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,context_recap,source_confirmed_fbd,false,1.0,0.2,0,0.0,0.0,1.0,5.0,20.0,3.1333,0,247.0,247.0,0.5687,0.0,,,0,,,,0.0,0,,0.0,0.2638,,true,,,7105.0,source_row_target,target_or_response,2026-04-27,missing,,2,1320,,simple_reclaim_unclassified,true,no_reclaim;not_accepted_for_timing_test
direct-634098b51695014e,direct_source_audit,data\research\mancini\The Longer Mancini Logs.txt,1552,2026-04-28,2026-04-27,2026-04-28,,,,,,,,,reclaim_score,false,false,false,,,,data_context,data_context,false,0.0,0.2,0,0.0,0.0,1.0,,,,0,247.0,247.0,0.1,0.0,,,0,,,,0.0,0,,0.0,0.07,,true,,,,,,,missing,,1,1320,,simple_reclaim_unclassified,true,no_source_data_only;missing_setup_level;no_reclaim
