source_id,source_kind,source_path,ocr_verified,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,major,tags,source,snippet
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6689,6689,6689,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6689
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6697,6697,6697,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6697 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6704,6704,6704,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6704 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6710,6710,6710,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6710
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6716,6716,6716,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6716
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6727,6727,6727,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6727 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6732,6732,6732,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6732 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6736,6736,6736,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6736
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6743,6743,6743,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6743
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6752,6752,6752,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6752
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6758,6758,6758,MAJOR_SUPPORT,support,true,major,supports are_list+narrative_sentence,Supports are: 6758 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6764,6764,6764,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6764
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6772,6772,6772,FAILED_BREAKDOWN_RECLAIM,support,true,major|failed_breakdown_reclaim,supports are_list+narrative_sentence+narrative_sentence,Supports are: 6772 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6777,6777,6777,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6777
