level_id,source_id,source_kind,source_path,ocr_verified,source_snippet,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,tags,long_eligible,bars_in_session,saty_valid,nearest_saty_label,nearest_saty_price,nearest_saty_distance,event_status,touch_ct,touch_et,sweep_ct,sweep_et,sweep_low,sweep_depth_points,reclaim_ct,reclaim_et,sweep_reclaim_same_bar,acceptance2_ct,acceptance2_et,acceptance3_ct,acceptance3_et,nonacceptance2_ct,nonacceptance2_et,entry_model,entry_ct,entry_et,entry_price,horizon_5m_complete,mfe_5m,mae_5m,hit_2pt_5m,hit_4pt_5m,hit_8pt_5m,hit_10pt_5m,horizon_15m_complete,mfe_15m,mae_15m,hit_2pt_15m,hit_4pt_15m,hit_8pt_15m,hit_10pt_15m,horizon_30m_complete,mfe_30m,mae_30m,hit_2pt_30m,hit_4pt_30m,hit_8pt_30m,hit_10pt_30m,horizon_60m_complete,mfe_60m,mae_60m,hit_2pt_60m,hit_4pt_60m,hit_8pt_60m,hit_10pt_60m,mfe_eod,mae_eod,hit_2pt_eod,hit_4pt_eod,hit_8pt_eod,hit_10pt_eod,eod_complete
150e146a429a,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6777,2026-02-20,2026-02-19,6777,6777,6777,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41193a943f67,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6782,2026-02-20,2026-02-19,6782,6782,6782,FAILED_BREAKDOWN_RECLAIM,support,failed_breakdown_reclaim|target_reference,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915d908d6fd,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6790 (major),2026-02-20,2026-02-19,6790,6790,6790,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934c9b076ad5,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,"...or 6795 to defend (doesn't need to be exact) then recover today's 6808 daily low."" Yesterday morning ES flushed down to 6791, recovered 6808, and we ripped hard to 6860+ again.",2026-02-20,2026-02-19,6791,6791,6791,RESISTANCE_ONLY,support,failed_breakdown_reclaim|defend_first|resistance_only|target_reference,false,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66fde896ba48,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,"As a Failed Breakdown trader, I only trade when we see a scary, elevator down sell like we saw down to 6791 yesterday I want to see panic, people chasing short, bearish comments in my feed etc.",2026-02-20,2026-02-19,6791,6791,6791,RESISTANCE_ONLY,resistance,failed_breakdown_reclaim|resistance_only|defend_first|target_reference,false,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e22f110d8370,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6795,2026-02-20,2026-02-19,6795,6795,6795,FAILED_BREAKDOWN_RECLAIM,support,failed_breakdown_reclaim|defend_first,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef9c530da192,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6802 (major),2026-02-20,2026-02-19,6802,6802,6802,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbc86989e52a,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,"In doing so, ES lost Friday's daily low at 6808.",2026-02-20,2026-02-19,6808,6808,6808,RESISTANCE_ONLY,support,failed_breakdown_reclaim|defend_first|shelf_cluster_low|resistance_only|direct_bid_conditional,false,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76c0a3de8b27,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,"Shortly after, ES put in a monster Failed Breakdown of Friday's 6808 low, and back up the levels we went to 6923 by 10am yesterday from which we topped out into today.",2026-02-20,2026-02-19,6808,6808,6808,RESISTANCE_ONLY,resistance,failed_breakdown_reclaim|resistance_only|defend_first|shelf_cluster_low|direct_bid_conditional,false,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d618dbad07c,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6813,2026-02-20,2026-02-19,6813,6813,6813,FAILED_BREAKDOWN_RECLAIM,support,failed_breakdown_reclaim|defend_first,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
