training_row_id,row_origin,raw_file,line,plan_date,pub_date,session_date,packet_id,setup_level,swept_low,recovered_level,entry_price,entry_timestamp_et,source_mode,source_confidence_score,significant_low_score,prior_touch_count,prior_hold_minutes,prior_bounce_points,major_source_bonus,flush_depth,flush_depth_ticks,approach_velocity,multi_level_flush_count,volume_on_trap_bar,median_volume_30m,flush_score,reclaim_score,reclaim_close_location,reclaim_range,acceptance_closes_above_L,non_acceptance_score,non_acceptance_score_with_outcome_audit,non_acceptance_closes,reclaim_minutes_from_trap,squeeze_score,candidate_score,target_room,risk_to_sweep,target_R,next_trusted_level_above,next_trusted_level_source,next_trusted_level_role,next_trusted_level_pub_date,time_of_day_bucket,visual_sanity_status,source_blocker_count,bars_available,window_csv,acceptance_family_model,hard_reject,hard_reject_reasons
packet-e00f28899f727d38,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T0736:6703.0:2ad254850080,6703.0,6683.5,6703.0,6707.5,2026-03-18T07:36:00-04:00,data_context,0.2,0.6771,3,10.0,12.5,1.0,19.5,78.0,2.325,4,411.0,242.0,0.9698,1.0,0.8182,2.75,6,0.7,0.7,4,,0.735,0.7802,61.5,24.25,2.5361,6769.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,overnight_premarket,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_0736_6703.0_2ad254850080.csv,non_acceptance_protocol,true,sr_list_only
packet-f6a2453fe4efecf8,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T0741:6708.0:a73f47c3381e,6708.0,6683.5,6708.0,6714.75,2026-03-18T07:41:00-04:00,data_context,0.2,0.4167,8,11.0,7.5,0.0,24.5,98.0,2.325,5,411.0,242.0,0.9698,0.8667,0.7778,2.25,1,0.5,0.5,1,,0.7003,0.6749,54.25,31.5,1.7222,6769.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-17,overnight_premarket,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_0741_6708.0_a73f47c3381e.csv,simple_reclaim_unclassified,true,sr_list_only;immediate_failure_after_reclaim
packet-fe65b5e2ecd7d4ab,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T0741:6713.0:4fa5cfd97720,6713.0,6683.5,6713.0,6714.75,2026-03-18T07:41:00-04:00,data_context,0.2,1.0,9,782.0,49.25,1.0,29.5,118.0,2.325,6,411.0,242.0,0.9698,0.8667,0.7778,2.25,1,0.0,0.0,0,,0.7003,0.8207,54.25,31.5,1.7222,6769.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-17,overnight_premarket,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_0741_6713.0_4fa5cfd97720.csv,simple_reclaim_unclassified,true,sr_list_only;immediate_failure_after_reclaim
packet-10b7ba2829840761,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,37,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-17T1800:6716.0:d5b1f274f69e,6716.0,6713.75,6716.0,6716.5,2026-03-17T18:00:00-04:00,data_context,1.0,0.0,0,0.0,0.0,0.0,2.25,9.0,4.0,0,89.0,89.0,0.4484,0.8,0.2857,1.75,3,0.0,0.1,0,12.0,0.7,0.5297,52.5,3.0,17.5,6769.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,post_rth,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260317_1800_6716.0_d5b1f274f69e.csv,classic_acceptance_second_attempt_reclaim,true,immediate_failure_after_reclaim
packet-2c17f367ded047d9,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-17T1719:6717.0:cffa438efe5e,6717.0,6716.25,6717.0,6716.5,2026-03-17T17:20:00-04:00,data_context,0.2,0.0,0,0.0,0.0,0.0,0.75,3.0,1.5,0,89.0,89.0,0.3203,0.4167,0.2857,1.75,1,0.0,0.1,0,,0.7,0.3282,52.5,0.5,105.0,6769.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,post_rth,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260317_1719_6717.0_cffa438efe5e.csv,classic_acceptance_second_attempt_reclaim,true,sr_list_only;immediate_failure_after_reclaim
packet-827006fb019c5fe6,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-17T1948:6727.0:4ef53d48bbfb,6727.0,6722.0,6727.0,6728.75,2026-03-17T19:48:00-04:00,data_context,0.2,0.2,0,0.0,0.0,1.0,5.0,20.0,0.1944,0,22.0,34.0,0.3078,1.0,1.0,0.5,16,0.0,0.1,0,15.0,0.7,0.5216,40.25,7.0,5.75,6769.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,post_rth,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260317_1948_6727.0_4ef53d48bbfb.csv,simple_reclaim_unclassified,true,sr_list_only
packet-0a6bebfcd72a16f8,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-17T2024:6734.0:4b765d5e99f1,6734.0,6731.0,6734.0,6734.5,2026-03-17T20:24:00-04:00,data_context,0.2,0.3187,7,9.0,-0.5,0.0,3.0,12.0,0.2273,0,20.0,30.0,0.2263,0.8667,0.5,0.5,1,0.0,0.1,0,12.0,0.7,0.5016,34.5,3.75,9.2,6769.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-17,post_rth,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260317_2024_6734.0_4b765d5e99f1.csv,classic_acceptance_second_attempt_reclaim,true,sr_list_only;immediate_failure_after_reclaim
packet-578171d6381c8285,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,10,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-17T2103:6735.0:9511992689d1,6735.0,6731.25,6735.0,6735.75,2026-03-17T21:03:00-04:00,data_context,1.0,0.3719,28,33.0,0.25,0.0,3.75,15.0,0.1333,1,19.0,22.0,0.3338,0.8,0.3333,0.75,16,0.0,0.1,0,11.0,0.7,0.5997,33.25,4.75,7.0,6769.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-17,post_rth,insufficient_visual_context,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260317_2103_6735.0_9511992689d1.csv,simple_reclaim_unclassified,false,
packet-6a4a4e6c47ac85c4,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-17T2248:6743.0:bbcf8b904297,6743.0,6741.25,6743.0,6743.75,2026-03-17T22:48:00-04:00,data_context,0.2,0.4396,31,67.0,0.0,0.0,1.75,7.0,0.1167,0,14.0,12.0,0.2078,0.8,0.3333,0.75,16,0.0,0.1,0,10.0,0.7,0.5115,25.25,2.75,9.1818,6769.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-17,post_rth,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260317_2248_6743.0_bbcf8b904297.csv,simple_reclaim_unclassified,true,sr_list_only
packet-994b4c4a6fc44815,packet_observation,data/research/mancini/Longer Mancini Logs 2.txt,35,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T0020:6749.0:6ecef92d0ce8,6749.0,6747.5,6749.0,6749.0,2026-03-18T00:20:00-04:00,data_context,0.2,0.6385,27,62.0,0.75,1.0,1.5,6.0,0.1607,0,25.0,14.0,0.2643,0.55,0.0,1.0,16,0.0,0.1,0,14.0,0.735,0.517,20.0,1.75,11.4286,6769.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,overnight_premarket,dangerous_demote_for_training,1,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_0020_6749.0_6ecef92d0ce8.csv,simple_reclaim_unclassified,true,sr_list_only
